Ploisy,2200,82
Serval,2160,44
Billy-sur-Ourcq,2210,215
Ambrief,2200,63
Prisces,2140,114
Roupy,2590,241
Ronchères,2130,130
Lugny,2140,126
Chézy-en-Orxois,2810,360
Dhuizel,2220,115
Étampes-sur-Marne,2400,1164
Vaux-en-Vermandois,2590,137
Boué,2450,1265
La Fère,2800,3037
Saint-Michel,2830,3535
Castres,2680,231
Mesbrecourt-Richecourt,2270,298
Beugneux,2210,122
Clermont-les-Fermes,2340,120
Condren,2700,707
Franqueville,2140,130
Arcy-Sainte-Restitue,2130,427
Burelles,2140,138
Rocourt-Saint-Martin,2210,321
Commenchon,2300,191
Voulpaix,2140,405
Bucy-lès-Cerny,2870,185
Renansart,2240,169
Presles-et-Boves,2370,356
Lavaqueresse,2450,212
Cuffies,2880,1686
Villequier-Aumont,2300,631
Vendelles,2490,110
Attilly,2490,384
Berlancourt,2250,104
Grisolles,2210,193
Courcelles-sur-Vesle,2220,345
Sons-et-Ronchères,2270,234
Seringes-et-Nesles,2130,296
Grandlup-et-Fay,2350,320
Coincy,2210,1310
Marly-Gomont,2120,414
Macogny,2470,81
Tartiers,2290,190
Gibercourt,2440,45
Pontru,2490,286
Trélou-sur-Marne,2850,985
La Ville-aux-Bois-lès-Dizy,2340,180
Amigny-Rouy,2700,731
Charmes,2800,1659
Viffort,2540,333
Mâchecourt,2350,122
Nogent-l'Artaud,2310,2137
Tannières,2220,14
Saint-Erme-Outre-et-Ramecourt,2820,1832
Jouaignes,2220,170
Vaucelles-et-Beffecourt,2000,210
Lesquielles-Saint-Germain,2120,859
Aizy-Jouy,2370,287
Faucoucourt,2320,311
Chavigny,2880,153
Veuilly-la-Poterie,2810,138
Mézy-Moulins,2650,523
Gernicourt,2160,50
Quincy-Basse,2380,58
Sergy,2130,164
Toulis-et-Attencourt,2250,133
Puiseux-en-Retz,2600,217
Leuze,2500,162
Crézancy,2650,1110
Noyales,2120,171
Marigny-en-Orxois,2810,462
Foreste,2590,184
Wissignicourt,2320,150
Tavaux-et-Pontséricourt,2250,601
Saponay,2130,259
Ébouleau,2350,206
Orainville,2190,492
Missy-lès-Pierrepont,2350,114
Neuilly-Saint-Front,2470,2175
Tergnier,2700,14139
La Ferté-Milon,2460,2240
Bassoles-Aulers,2380,132
Le Verguier,2490,224
Ostel,2370,80
Sissy,2240,484
Leury,2880,104
La Croix-sur-Ourcq,2210,124
Pernant,2200,708
Étreux,2510,1509
Bruys,2220,19
Fontenelle,2170,289
Cerseuil,2220,91
Voharies,2140,68
Saint-Pierre-Aigle,2600,352
Saint-Martin-Rivière,2110,125
Nanteuil-Notre-Dame,2210,67
Selens,2300,238
Monthenault,2860,120
Saint-Eugène,2330,238
Étouvelles,2000,223
Faverolles,2600,343
Lislet,2340,239
Vendeuil,2800,918
Folembray,2670,1504
Courbes,2800,34
Chacrise,2200,312
Serches,2220,313
Acy,2200,959
Verneuil-sous-Coucy,2380,130
Bazoches-sur-Vesles,2220,457
Mauregny-en-Haye,2820,434
Hartennes-et-Taux,2210,333
Vasseny,2220,212
Merval,2160,88
Corcy,2600,310
Bony,2420,135
Breny,2210,268
Brécy,2210,352
Bruyères-sur-Fère,2130,206
Flavy-le-Martel,2520,1636
Pancy-Courtecon,2860,43
Bosmont-sur-Serre,2250,206
Missy-aux-Bois,2200,108
Surfontaine,2240,103
Dagny-Lambercy,2140,132
Lanchy,2590,52
Vaudesson,2320,260
Cœuvres-et-Valsery,2600,462
Épieds,2400,389
Villeneuve-Saint-Germain,2200,2438
Alaincourt,2240,503
Soucy,2600,88
Archon,2360,87
Pargny-Filain,2000,234
Germaine,2590,66
La Neuville-Housset,2250,63
Belleau,2400,135
Paars,2220,284
Laniscourt,2000,175
Sermoise,2220,319
Barenton-Bugny,2000,589
Quierzy,2300,459
Cerizy,2240,58
La Ferté-Chevresis,2270,589
Ramicourt,2110,171
Bussiares,2810,122
Bernot,2120,459
